"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\routes\LoginRoute.js", "JavaScript", 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\routes\MainRoute.js", "JavaScript", 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\routes\NotFoundPage.js", "JavaScript", 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\routes\QuestRoute.js", "JavaScript", 0, 0, 0, 20, 0, 6, 5, 31
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\routes\RegisterRoute.js", "JavaScript", 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\services\auth-api-service.js", "JavaScript", 0, 0, 0, 31, 0, 0, 3, 34
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\services\quest-api-service.js", "JavaScript", 0, 0, 0, 33, 0, 0, 2, 35
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\services\token-service.js", "JavaScript", 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\services\tree-api-service.js", "JavaScript", 0, 0, 0, 34, 0, 0, 4, 38
"c:\Users\autog\projects\LOTUS\lotus-client-final\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 4, 1, 6
"c:\Users\autog\projects\LOTUS\lotus-client-final\vercel.json", "JSON", 4, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 15444, 37, 18, 1266, 225, 42, 248, 17280
